ID,F3,F5,F6,F4,F1,F2
39,15,25,15,16,23,45
37,16,30,23,21,36,55
144,23,33,20,16,39,50
29,16,22,18,17,29,53
70,23,38,24,22,36,60
2,19,27,20,17,31,47
56,14,26,16,17,35,51
146,13,35,22,14,37,50
43,14,32,23,16,36,56
230,23,33,20,22,38,56
246,23,26,18,21,29,52
59,24,31,23,16,35,53
240,24,33,21,21,40,60
239,24,30,18,20,32,48
204,30,28,14,19,37,57
140,18,29,18,16,30,49
256,20,30,19,14,31,48
197,24,30,21,19,36,56
46,23,33,20,19,26,57
127,20,32,20,17,31,49
83,18,34,21,17,30,56
152,22,35,17,13,33,49
27,20,31,19,19,32,51
228,19,28,20,19,26,57
19,21,39,21,19,36,55
231,19,29,22,22,40,58
142,21,35,20,16,38,54
223,18,32,18,20,35,51
199,21,27,21,20,34,54
168,20,32,18,15,38,53
44,20,33,20,18,32,54
130,23,35,18,24,35,51
55,24,27,18,18,31,48
101,19,30,16,18,32,49
79,15,32,19,21,36,54
216,17,28,16,18,32,49
220,23,26,18,22,39,53
